category,urgency,distance_km,is_remote,road_type,weather,traffic_level,time_of_day,order_weight_kg,past_delay_count,vehicle_capacity_load_pct,customer_priority_flag,priority_score,eta_minutes,delayed
electronics,normal,19.43,1,mixed,fog,4,afternoon,6.88,2,57,0,22.2,90.5,1
electronics,high,20.1,0,mixed,rain,4,night,3.67,0,62,0,33.6,84.3,0
groceries,normal,28.25,0,paved,clear,2,evening,1.64,0,31,0,20.2,60.3,0
clothing,low,20.28,1,paved,storm,5,morning,6.05,0,98,0,10.9,105.0,1
agricultural_supplies,normal,16.3,0,paved,clear,3,evening,4.71,2,83,0,36.3,37.3,0
groceries,low,5.76,0,mixed,clear,4,afternoon,3.31,2,61,0,15.4,24.6,0
electronics,normal,52.67,1,paved,clear,4,afternoon,2.03,1,50,0,26.7,140.2,0
agricultural_supplies,high,4.58,0,paved,fog,3,night,7.68,2,39,0,47.6,15.5,0
groceries,normal,3.01,0,paved,clear,2,night,2.01,2,54,0,26.8,7.1,0
groceries,low,17.22,0,mixed,clear,1,morning,2.23,2,23,0,5.8,49.8,0
groceries,high,28.59,1,unpaved,clear,1,morning,1.08,0,70,0,39.9,90.8,0
agricultural_supplies,high,3.19,1,unpaved,rain,3,night,6.52,0,85,0,61.6,19.4,1
agricultural_supplies,low,23.48,0,paved,rain,5,morning,5.69,2,62,0,13.4,75.8,0
groceries,normal,12.45,1,paved,clear,1,evening,5.29,2,50,0,40.8,35.3,0
documents,emergency,8.19,0,mixed,rain,1,morning,3.48,1,28,0,62.5,27.5,0
medicine,normal,24.9,1,unpaved,clear,3,morning,2.31,0,44,0,65.4,106.9,1
groceries,normal,13.0,0,paved,clear,4,morning,2.69,2,32,0,17.5,38.4,0
groceries,normal,12.77,0,mixed,clear,1,afternoon,3.98,1,70,0,32.1,33.0,0
documents,normal,4.79,1,unpaved,clear,4,night,6.38,0,78,0,43.4,18.8,1
electronics,high,10.76,1,mixed,fog,3,night,9.65,0,67,0,41.0,54.5,1
agricultural_supplies,low,26.09,1,mixed,fog,5,night,6.66,0,39,0,25.5,135.6,0
groceries,normal,36.58,1,paved,storm,3,afternoon,0.94,2,44,0,32.4,159.2,0
documents,normal,3.26,0,paved,fog,5,afternoon,0.65,2,46,1,37.8,13.1,1
clothing,high,3.31,1,unpaved,clear,2,afternoon,2.51,0,40,0,45.0,20.3,0
agricultural_supplies,normal,36.78,0,mixed,clear,1,afternoon,2.06,1,45,0,33.6,86.7,0
groceries,high,11.94,0,paved,clear,4,night,2.6,3,31,0,34.7,31.8,0
agricultural_supplies,high,15.14,1,paved,clear,3,afternoon,3.72,3,26,0,56.1,36.0,0
documents,emergency,35.65,0,mixed,rain,2,evening,0.86,0,56,0,59.5,114.8,0
electronics,high,10.28,1,mixed,clear,5,afternoon,2.8,1,32,0,51.0,39.6,0
groceries,normal,25.83,1,mixed,clear,4,morning,0.47,2,72,1,39.5,82.5,0
clothing,low,36.94,1,paved,clear,3,afternoon,4.42,3,93,0,11.9,90.7,1
groceries,normal,11.91,0,paved,clear,2,afternoon,3.11,1,87,0,27.7,22.9,0
agricultural_supplies,emergency,24.78,1,unpaved,clear,3,afternoon,0.55,2,79,0,66.7,106.8,1
electronics,high,10.42,1,mixed,clear,4,morning,2.69,0,72,0,44.7,44.9,0
medicine,high,25.65,0,mixed,clear,3,morning,1.85,2,32,0,72.5,77.8,0
groceries,normal,10.32,1,paved,rain,2,morning,3.09,1,87,0,34.4,34.4,0
clothing,normal,1.72,0,mixed,fog,5,night,2.09,0,30,0,20.9,12.8,0
groceries,low,3.08,0,mixed,clear,1,evening,7.94,2,94,0,8.5,10.3,0
groceries,normal,7.08,0,mixed,clear,4,afternoon,1.81,1,34,0,19.7,18.5,0
groceries,low,3.0,0,paved,clear,5,night,4.84,0,34,0,6.7,5.5,0
groceries,normal,1.8,0,paved,rain,3,night,2.67,1,57,0,22.9,8.4,0
agricultural_supplies,low,8.86,0,paved,fog,4,night,7.42,0,52,1,22.7,24.8,0
documents,low,15.18,1,paved,rain,3,morning,10.54,2,26,0,23.8,57.9,0
agricultural_supplies,normal,1.5,0,paved,rain,4,evening,2.62,1,64,0,43.8,7.2,0
electronics,normal,16.24,0,mixed,fog,3,night,5.18,0,26,0,15.9,68.0,0
agricultural_supplies,normal,6.09,0,mixed,clear,1,evening,0.71,3,61,1,51.0,11.6,0
groceries,normal,22.69,0,unpaved,clear,2,night,3.97,0,60,0,11.4,81.4,1
electronics,normal,11.79,0,paved,fog,2,evening,0.98,0,64,0,26.8,35.6,0
groceries,normal,8.15,1,paved,clear,3,night,1.6,0,56,0,35.6,30.0,0
clothing,normal,24.96,0,paved,clear,2,morning,5.59,0,89,0,19.3,59.9,0
groceries,normal,14.9,0,paved,fog,3,afternoon,4.56,0,71,0,12.6,49.3,0
documents,low,14.4,0,mixed,clear,2,morning,3.25,2,91,0,22.0,40.5,0
documents,high,14.19,0,paved,clear,1,morning,6.66,3,23,0,40.7,29.6,0
agricultural_supplies,normal,21.43,0,paved,clear,1,night,7.37,2,54,0,43.1,41.8,0
clothing,normal,8.47,0,mixed,clear,4,morning,3.57,1,89,0,13.1,28.7,0
agricultural_supplies,normal,28.24,0,mixed,rain,3,evening,3.09,0,87,0,26.0,103.0,0
agricultural_supplies,normal,5.48,1,mixed,clear,4,afternoon,3.0,0,32,0,42.2,26.9,0
groceries,emergency,7.63,0,mixed,clear,5,afternoon,4.01,2,61,1,72.3,22.2,0
agricultural_supplies,normal,21.75,0,paved,clear,4,afternoon,13.0,2,41,0,26.8,60.1,0
electronics,low,6.95,0,paved,fog,3,evening,1.66,3,38,0,14.2,24.6,1
agricultural_supplies,normal,13.44,0,paved,clear,1,evening,3.42,1,40,0,29.2,32.6,0
groceries,normal,3.53,0,paved,clear,3,afternoon,0.41,0,88,0,19.9,5.0,0
electronics,low,8.18,1,paved,rain,4,evening,2.58,2,89,0,18.1,32.3,0
medicine,low,2.5,0,paved,clear,2,evening,14.61,2,45,0,44.2,5.4,0
agricultural_supplies,low,33.01,0,mixed,clear,2,afternoon,3.33,0,26,0,17.1,88.2,0
groceries,emergency,13.29,1,paved,storm,4,evening,1.51,2,22,1,73.6,69.7,1
electronics,low,2.0,1,paved,clear,4,afternoon,1.29,1,62,0,11.2,11.7,0
documents,low,15.25,1,paved,clear,1,night,3.17,0,99,0,29.6,39.7,0
groceries,low,13.8,1,mixed,rain,5,evening,1.76,2,24,0,15.1,56.1,0
electronics,low,1.15,0,mixed,rain,5,night,4.45,0,79,0,0.0,5.1,0
clothing,high,12.43,1,unpaved,fog,1,morning,4.98,3,29,1,56.0,56.9,1
groceries,normal,4.09,1,unpaved,storm,5,night,2.0,3,36,1,40.6,36.1,1
groceries,normal,18.88,1,paved,clear,5,morning,7.43,0,27,0,36.6,51.1,0
groceries,low,12.45,1,unpaved,clear,2,afternoon,1.93,2,51,0,22.6,50.9,0
medicine,normal,10.58,0,paved,clear,4,morning,3.22,2,58,0,65.2,26.2,0
agricultural_supplies,normal,23.14,1,mixed,rain,3,night,4.25,0,21,0,43.2,95.9,0
groceries,normal,23.04,1,unpaved,clear,3,evening,3.77,1,77,0,28.7,99.6,0
documents,low,7.16,1,paved,clear,3,evening,1.38,4,53,0,29.4,26.2,0
agricultural_supplies,normal,9.37,0,paved,rain,2,night,2.28,0,40,0,31.2,23.3,0
groceries,normal,25.88,0,unpaved,clear,2,evening,2.74,2,38,0,23.6,98.0,0
clothing,high,9.74,0,paved,clear,1,afternoon,2.04,2,52,0,33.1,23.6,0
medicine,normal,22.98,0,paved,clear,1,night,0.86,0,89,0,49.1,45.4,0
groceries,normal,25.74,1,paved,rain,2,night,1.21,2,76,0,32.7,72.3,0
documents,normal,1.16,0,paved,clear,3,evening,2.78,2,63,0,28.8,6.9,0
groceries,normal,18.73,0,paved,rain,3,night,7.31,3,56,0,21.1,56.5,0
clothing,normal,2.45,0,paved,clear,1,morning,6.69,2,84,0,7.6,6.3,0
groceries,low,24.76,0,unpaved,clear,4,evening,1.93,0,26,1,15.7,113.1,1
agricultural_supplies,low,2.62,1,paved,clear,5,morning,9.32,1,22,1,37.9,11.5,1
medicine,high,21.72,0,unpaved,fog,4,afternoon,2.71,0,91,0,66.4,129.5,1
electronics,low,15.28,1,paved,storm,3,evening,2.54,2,23,0,14.0,70.5,0
groceries,emergency,8.97,0,unpaved,clear,4,afternoon,4.44,0,39,1,57.1,39.5,0
groceries,high,21.52,0,unpaved,clear,3,afternoon,2.92,2,40,0,44.5,86.3,0
groceries,emergency,17.15,0,paved,clear,1,morning,4.57,0,35,0,54.9,29.2,0
clothing,emergency,1.91,0,paved,storm,5,evening,2.2,1,28,0,56.2,5.0,1
documents,high,10.86,0,paved,clear,4,morning,6.04,1,33,1,53.5,25.8,0
agricultural_supplies,high,1.22,1,mixed,clear,1,night,2.71,1,72,0,56.9,6.6,0
groceries,normal,5.23,0,unpaved,clear,4,night,2.61,3,74,0,20.5,25.7,0
agricultural_supplies,normal,13.9,0,paved,clear,5,morning,2.21,0,54,0,33.9,42.1,0
groceries,normal,18.84,1,mixed,clear,5,evening,5.41,3,23,0,43.9,71.5,0
agricultural_supplies,normal,13.06,0,paved,clear,4,afternoon,4.97,0,84,0,44.5,31.1,0
groceries,normal,10.24,1,paved,rain,4,night,0.82,1,83,0,34.9,36.8,0
clothing,low,6.08,0,mixed,clear,3,afternoon,2.86,0,65,0,11.4,15.6,0
groceries,high,5.22,1,mixed,rain,1,evening,5.74,2,37,0,43.8,12.4,0
groceries,high,1.88,0,paved,fog,5,morning,2.6,2,70,1,50.8,8.1,0
documents,low,10.16,0,paved,clear,3,evening,4.36,1,81,0,18.3,20.2,0
clothing,normal,14.41,0,paved,rain,4,night,4.56,3,94,0,25.5,39.1,1
groceries,low,7.76,0,mixed,clear,4,evening,7.17,2,30,0,12.8,32.1,0
documents,normal,14.99,0,paved,clear,3,evening,2.03,1,83,0,19.0,31.3,0
medicine,high,6.55,0,paved,clear,2,night,1.12,0,78,1,70.3,8.0,0
medicine,normal,10.36,1,mixed,clear,2,afternoon,0.35,0,65,0,68.2,31.6,0
electronics,emergency,2.96,1,paved,rain,3,night,3.78,1,38,0,58.7,13.2,1
groceries,emergency,29.82,1,unpaved,storm,5,afternoon,0.76,0,75,0,62.4,250.6,1
agricultural_supplies,normal,6.65,0,paved,rain,3,evening,4.45,1,72,1,47.0,18.0,0
documents,low,2.39,1,unpaved,rain,3,evening,8.86,1,80,1,29.9,15.3,1
clothing,low,5.27,0,mixed,clear,1,afternoon,6.43,3,26,0,10.0,7.4,0
clothing,low,7.11,1,paved,rain,3,evening,3.72,2,64,1,12.5,26.6,0
agricultural_supplies,high,1.62,0,paved,clear,4,afternoon,1.64,3,72,0,40.6,5.1,0
groceries,high,25.2,0,mixed,clear,4,night,2.24,1,72,0,43.3,94.2,0
groceries,normal,5.01,0,paved,clear,4,morning,2.18,0,45,0,27.4,13.5,0
groceries,emergency,2.04,1,mixed,clear,1,evening,14.42,3,89,0,62.7,18.0,1
clothing,low,3.19,1,unpaved,fog,4,evening,0.95,1,40,0,14.0,19.7,1
groceries,low,13.08,1,paved,storm,5,afternoon,2.6,1,28,0,23.2,69.3,1
clothing,normal,2.76,1,mixed,clear,4,night,1.26,1,40,0,26.3,13.5,0
groceries,high,1.18,0,paved,clear,4,afternoon,1.36,1,36,1,50.6,5.0,0
groceries,normal,3.98,0,mixed,clear,2,evening,2.1,1,26,0,27.9,8.0,0
groceries,low,5.28,1,mixed,rain,1,night,4.04,2,78,0,17.5,14.9,0
medicine,emergency,35.32,1,mixed,clear,4,afternoon,9.73,0,90,0,100.0,123.7,0
agricultural_supplies,normal,6.9,1,paved,clear,4,afternoon,4.01,2,45,0,37.6,21.9,0
groceries,normal,14.66,0,paved,rain,2,afternoon,5.08,1,25,0,25.2,40.4,0
groceries,normal,11.8,0,paved,fog,4,night,4.27,6,27,0,17.7,37.4,1
documents,high,24.19,1,mixed,rain,4,night,2.8,1,61,0,54.3,107.6,0
medicine,normal,14.03,0,paved,clear,3,afternoon,1.55,0,90,0,62.1,30.3,0
agricultural_supplies,normal,10.96,0,paved,clear,2,afternoon,6.67,0,29,0,29.0,26.3,0
groceries,high,10.94,0,paved,rain,5,night,5.52,3,42,0,30.7,37.5,0
groceries,high,3.78,0,paved,fog,5,morning,4.36,2,43,0,38.3,19.2,0
groceries,emergency,6.97,0,paved,clear,4,afternoon,3.21,1,57,0,58.0,17.0,0
clothing,normal,18.08,1,mixed,rain,3,evening,1.5,2,58,0,30.3,79.8,0
groceries,high,1.25,0,paved,clear,2,afternoon,1.31,1,44,0,45.3,5.0,0
documents,normal,3.08,0,paved,rain,2,evening,4.93,1,60,0,20.5,5.0,0
electronics,emergency,9.23,0,paved,rain,4,afternoon,6.39,1,97,0,50.7,31.1,0
agricultural_supplies,normal,41.95,0,paved,rain,5,night,1.36,1,62,1,38.6,140.4,0
clothing,high,4.46,1,unpaved,rain,3,evening,2.42,1,31,0,38.9,21.7,0
agricultural_supplies,normal,1.85,1,paved,clear,3,afternoon,7.11,0,66,0,40.2,10.7,0
clothing,emergency,5.72,1,mixed,clear,5,afternoon,5.35,1,81,0,60.7,20.2,0
medicine,normal,9.73,1,unpaved,clear,2,evening,0.82,0,39,0,66.0,36.9,1
groceries,low,41.23,0,paved,rain,1,evening,7.7,3,29,0,0.8,104.7,0
groceries,emergency,10.37,1,paved,rain,2,night,2.2,1,46,0,64.1,31.1,0
groceries,normal,16.42,0,paved,rain,1,morning,5.95,1,42,0,18.1,31.9,0
electronics,normal,5.86,1,unpaved,clear,5,night,0.92,3,70,0,24.1,31.0,1
agricultural_supplies,emergency,24.58,0,unpaved,clear,2,evening,6.95,2,56,0,63.0,78.0,0
groceries,normal,7.28,0,paved,clear,1,evening,8.14,0,20,1,31.2,10.0,0
agricultural_supplies,normal,20.67,0,mixed,clear,2,evening,6.47,1,44,0,36.1,54.9,0
groceries,normal,4.16,0,mixed,clear,5,evening,7.64,3,99,0,33.3,10.3,1
medicine,high,4.13,0,paved,clear,2,morning,1.47,1,52,0,77.9,6.5,0
medicine,low,5.47,0,paved,clear,4,night,10.66,1,81,1,43.8,20.8,0
groceries,normal,11.28,0,mixed,rain,5,night,5.3,2,32,0,22.3,51.0,0
medicine,high,1.86,0,paved,rain,2,night,4.05,3,99,0,68.1,5.0,0
agricultural_supplies,normal,8.95,0,paved,rain,2,evening,19.64,0,27,1,45.2,14.8,0
groceries,high,7.82,1,unpaved,clear,3,evening,3.91,1,81,0,45.7,35.5,1
groceries,high,23.17,0,paved,clear,1,night,2.84,3,77,0,34.0,50.5,0
groceries,low,4.58,1,unpaved,rain,2,morning,7.98,1,80,0,13.8,23.1,0
groceries,normal,29.61,0,paved,clear,2,afternoon,1.69,3,57,0,29.6,65.9,0
agricultural_supplies,normal,4.92,1,mixed,clear,5,evening,0.74,3,95,0,42.1,16.6,0
agricultural_supplies,high,12.93,1,mixed,clear,3,night,0.71,4,73,0,61.0,48.4,0
electronics,normal,5.59,1,mixed,rain,3,afternoon,2.87,1,57,0,32.2,28.1,0
electronics,low,34.45,0,paved,clear,4,morning,2.4,2,44,0,9.5,88.0,0
electronics,low,66.2,1,unpaved,rain,4,afternoon,5.0,0,30,0,20.7,360.5,1
clothing,emergency,1.87,0,unpaved,rain,1,evening,3.75,0,66,0,48.1,5.0,1
documents,normal,37.83,1,unpaved,rain,2,night,2.27,1,62,0,36.6,174.1,1
agricultural_supplies,high,13.91,0,mixed,storm,3,morning,1.73,1,70,0,49.3,79.2,0
agricultural_supplies,low,5.9,0,mixed,rain,2,afternoon,4.65,2,77,0,9.4,19.5,0
agricultural_supplies,normal,5.27,0,paved,clear,1,night,2.28,0,45,0,30.9,6.4,0
groceries,normal,20.54,0,paved,clear,3,night,1.59,1,76,0,18.7,42.4,0
electronics,emergency,14.09,0,paved,clear,5,morning,1.23,1,96,0,34.4,32.8,0
agricultural_supplies,normal,5.77,0,unpaved,clear,5,morning,6.79,0,96,0,44.1,26.3,1
groceries,high,2.83,0,paved,clear,4,evening,0.75,1,57,1,40.5,8.1,0
groceries,low,10.76,1,mixed,clear,1,evening,2.18,0,41,0,24.7,38.5,0
groceries,normal,10.7,0,paved,clear,3,morning,2.14,3,47,0,22.8,20.1,0
documents,high,7.09,1,paved,clear,5,night,0.87,2,93,0,53.5,20.8,0
documents,emergency,20.08,1,paved,clear,4,morning,2.29,1,46,0,73.1,54.0,0
medicine,high,4.24,1,unpaved,fog,2,afternoon,1.98,3,30,0,73.8,21.7,1
electronics,high,3.56,0,paved,clear,4,night,2.4,2,77,0,40.4,14.9,0
groceries,normal,6.05,1,mixed,clear,2,night,2.78,0,35,0,28.6,16.7,0
groceries,low,1.74,1,unpaved,clear,3,evening,3.07,0,46,0,13.3,18.9,1
agricultural_supplies,emergency,5.52,1,paved,clear,3,afternoon,2.76,2,57,0,76.9,23.4,0
groceries,low,3.95,0,paved,clear,3,afternoon,8.29,1,29,0,7.4,9.6,0
medicine,emergency,3.9,0,paved,rain,4,evening,14.24,1,96,0,86.7,11.7,0
medicine,low,15.13,0,paved,rain,1,morning,1.57,1,41,0,33.6,30.7,0
groceries,low,8.54,0,mixed,clear,5,evening,6.8,1,54,0,5.3,31.4,0
documents,normal,4.45,1,unpaved,clear,1,afternoon,0.84,0,63,0,40.1,20.2,0
groceries,normal,7.19,1,mixed,rain,1,evening,3.95,0,51,0,44.7,35.3,0
groceries,normal,1.36,1,paved,clear,5,afternoon,1.82,0,43,1,36.6,5.0,0
groceries,normal,2.15,0,paved,rain,4,afternoon,1.9,0,88,0,24.3,5.3,0
groceries,normal,4.85,1,paved,storm,3,afternoon,3.39,3,24,1,39.8,30.5,1
clothing,normal,19.18,1,paved,clear,2,morning,1.41,0,93,0,25.4,41.7,0
medicine,low,7.5,1,mixed,clear,2,afternoon,7.77,0,97,0,47.1,24.8,0
documents,normal,4.69,0,paved,clear,2,afternoon,2.18,1,78,0,26.6,9.8,0
documents,normal,4.86,1,paved,fog,4,night,8.87,0,82,0,40.2,19.5,0
agricultural_supplies,low,3.85,1,paved,clear,5,morning,1.99,1,38,0,24.7,11.7,0
agricultural_supplies,normal,7.29,0,paved,rain,5,evening,6.11,0,81,1,34.5,20.1,0
medicine,normal,25.96,1,paved,clear,2,afternoon,2.47,2,87,0,69.5,67.5,0
groceries,normal,7.36,0,paved,clear,5,evening,5.53,3,69,0,18.7,7.2,0
agricultural_supplies,high,12.07,0,paved,clear,2,evening,1.21,0,86,0,56.3,31.8,0
groceries,normal,18.56,0,paved,clear,5,night,10.38,0,56,0,21.2,49.8,0
documents,low,11.82,0,paved,clear,2,night,4.3,3,55,0,17.0,20.1,0
electronics,normal,1.86,0,paved,clear,2,night,6.39,5,52,0,27.5,11.3,0
medicine,emergency,5.73,0,paved,clear,4,night,1.65,1,65,0,86.2,17.1,0
agricultural_supplies,high,2.51,0,unpaved,clear,3,afternoon,1.55,3,92,0,45.8,14.7,1
electronics,low,2.01,1,mixed,clear,2,night,7.84,1,48,1,25.7,17.2,0
groceries,high,14.18,0,paved,clear,4,evening,10.26,0,79,0,38.0,35.7,0
agricultural_supplies,low,4.07,0,paved,clear,3,morning,1.58,0,31,0,18.4,11.0,0
electronics,normal,7.11,0,paved,clear,3,night,1.22,0,80,1,29.7,20.6,0
groceries,emergency,10.05,1,mixed,fog,5,afternoon,5.23,1,64,0,63.9,55.1,1
groceries,low,5.97,0,paved,rain,1,evening,0.34,0,70,0,4.6,20.4,0
groceries,normal,8.29,0,unpaved,clear,1,morning,2.07,0,71,0,19.2,29.0,0
medicine,normal,15.38,0,paved,clear,5,evening,2.55,2,37,0,52.4,42.8,0
agricultural_supplies,normal,12.44,0,paved,clear,1,night,1.97,2,90,0,28.0,20.0,0
clothing,high,8.61,0,mixed,clear,2,morning,4.47,1,95,0,31.6,21.1,0
groceries,normal,6.75,0,paved,fog,4,afternoon,2.63,3,41,0,15.8,22.9,1
groceries,low,4.41,1,paved,clear,3,evening,2.38,2,78,0,17.9,12.9,0
groceries,low,3.45,0,paved,clear,5,morning,2.53,1,64,0,9.0,9.5,0
medicine,emergency,19.05,1,mixed,clear,4,morning,1.67,1,69,0,86.8,68.3,0
medicine,normal,10.71,0,paved,rain,3,night,3.68,1,87,0,62.7,33.9,0
groceries,low,3.37,1,unpaved,clear,2,evening,0.68,0,74,0,18.2,17.4,0
groceries,emergency,3.39,1,paved,rain,4,night,0.9,3,45,1,68.2,24.1,1
electronics,low,13.02,1,mixed,clear,5,afternoon,9.08,1,42,0,20.6,55.7,0
groceries,low,13.8,0,paved,clear,3,evening,3.69,1,25,0,5.3,38.3,0
medicine,normal,5.58,1,paved,rain,2,morning,0.86,2,25,0,68.2,20.3,0
medicine,normal,10.6,0,paved,storm,4,morning,0.98,3,38,0,47.3,51.8,1
medicine,low,19.77,0,paved,clear,5,afternoon,1.13,1,50,0,32.6,54.6,0
agricultural_supplies,low,13.58,1,mixed,fog,3,morning,0.71,1,37,1,31.8,63.3,1
groceries,low,2.78,0,mixed,clear,4,night,1.48,2,90,0,1.3,7.5,0
documents,normal,19.27,1,unpaved,fog,4,evening,3.63,2,89,0,35.1,115.4,1
groceries,low,9.89,1,mixed,rain,1,night,0.85,1,26,0,18.8,36.3,0
medicine,normal,8.98,0,mixed,storm,2,afternoon,2.02,1,25,0,55.0,36.3,0
medicine,normal,20.46,1,paved,fog,5,afternoon,12.93,3,78,0,65.2,81.4,1
clothing,normal,5.4,1,mixed,clear,4,evening,1.91,2,56,0,24.7,32.0,0
clothing,low,22.91,1,unpaved,clear,1,night,4.41,0,69,0,11.4,78.9,1
groceries,high,12.92,1,paved,fog,5,night,2.45,1,53,0,41.2,47.8,0
agricultural_supplies,normal,9.51,0,mixed,clear,1,morning,6.41,1,80,0,35.6,21.8,0
groceries,normal,17.74,0,paved,clear,1,morning,10.63,0,70,0,21.1,28.7,0
medicine,low,16.45,1,unpaved,clear,4,morning,4.87,1,47,0,51.4,76.6,1
agricultural_supplies,normal,12.76,0,paved,rain,3,evening,2.45,3,77,0,30.1,41.2,0
agricultural_supplies,high,7.1,1,paved,clear,1,evening,4.74,1,89,0,52.7,15.5,0
groceries,normal,6.68,1,mixed,clear,1,afternoon,0.95,1,36,0,37.5,23.5,0
groceries,normal,1.25,1,paved,storm,5,morning,4.62,0,72,0,29.0,5.0,1
agricultural_supplies,normal,1.17,1,mixed,rain,4,evening,2.75,3,21,0,43.2,5.0,0
clothing,low,10.5,0,paved,clear,2,morning,5.9,2,74,0,2.0,23.4,0
agricultural_supplies,normal,12.86,0,paved,fog,3,afternoon,3.83,1,20,0,35.7,41.3,1
clothing,normal,4.32,0,mixed,rain,3,night,4.53,2,47,0,26.1,15.8,0
clothing,low,15.06,0,paved,rain,3,morning,5.86,0,59,0,0.0,44.9,0
groceries,high,6.04,0,paved,clear,2,evening,6.98,1,93,0,35.6,11.1,0
groceries,high,5.96,1,mixed,clear,3,night,5.12,0,34,0,57.8,22.5,0
agricultural_supplies,low,30.9,0,paved,clear,3,evening,0.87,4,35,0,16.2,78.5,0
groceries,normal,8.85,1,paved,clear,1,afternoon,0.5,1,87,0,32.6,24.2,0
electronics,high,4.49,0,paved,clear,4,night,3.18,1,42,0,38.1,8.9,0
agricultural_supplies,normal,5.44,1,unpaved,clear,4,afternoon,3.15,2,90,0,36.2,30.0,1
groceries,high,17.16,1,paved,clear,1,afternoon,1.23,1,91,1,51.6,42.3,0
groceries,low,10.12,1,paved,rain,3,morning,1.26,1,23,0,13.8,36.8,0
medicine,low,7.29,0,paved,rain,5,night,0.34,1,33,1,51.8,27.5,0
groceries,high,22.73,1,paved,storm,2,afternoon,6.09,2,91,0,45.2,88.6,0
agricultural_supplies,high,8.32,1,paved,clear,1,night,0.11,3,50,0,63.9,20.1,0
medicine,normal,11.34,0,paved,clear,5,afternoon,0.69,0,71,1,63.9,35.3,0
electronics,high,14.87,0,paved,clear,1,night,3.71,0,27,0,29.8,29.2,0
groceries,normal,2.3,1,mixed,rain,2,morning,2.33,1,26,1,35.9,13.8,0
groceries,high,13.55,1,unpaved,clear,2,evening,4.63,3,89,0,50.8,48.7,1
groceries,low,51.12,0,paved,clear,5,evening,2.74,1,44,0,0.4,136.6,0
groceries,normal,12.65,0,mixed,clear,2,morning,2.09,2,52,0,26.3,35.8,0
groceries,low,3.73,1,mixed,clear,4,morning,1.27,0,86,0,20.3,20.0,1
groceries,normal,9.06,0,paved,clear,4,night,5.04,1,36,0,23.6,20.4,0
groceries,high,7.35,0,paved,rain,3,evening,6.64,4,87,1,44.9,14.0,0
agricultural_supplies,emergency,7.68,0,paved,rain,4,evening,6.97,0,98,0,58.7,17.8,0
